year,month,day,hour,Prijs
2013,1,9,8,0.06509
2013,1,9,9,0.0649
2013,1,9,10,0.06409
2013,1,9,11,0.06426
2013,1,9,12,0.06258
2013,1,9,13,0.06203
2013,1,9,14,0.06194
2013,1,9,15,0.06135
2013,1,9,16,0.06188
2013,1,9,17,0.06611
2013,1,9,18,0.07397
2013,1,9,19,0.0667
2013,1,9,20,0.06494
2013,1,9,21,0.05769
2013,1,9,22,0.057
2013,1,9,23,0.05622
2013,1,10,0,0.05205
2013,1,10,1,0.05205
2013,1,10,2,0.04512
2013,1,10,3,0.04479
2013,1,10,4,0.03675
2013,1,10,5,0.0434
2013,1,10,6,0.05378
2013,1,10,7,0.06454
2013,1,10,8,0.06425
2013,1,10,9,0.06563
2013,1,10,10,0.06557
2013,1,10,11,0.06732
2013,1,10,12,0.06431
2013,1,10,13,0.06346
2013,1,10,14,0.06143
2013,1,10,15,0.05906
2013,1,10,16,0.05795
2013,1,10,17,0.06642
2013,1,10,18,0.06939
2013,1,10,19,0.06537
2013,1,10,20,0.06199
2013,1,10,21,0.05425
2013,1,10,22,0.05558
2013,1,10,23,0.05475
2013,1,11,0,0.05087
2013,1,11,1,0.04407
2013,1,11,2,0.04231
2013,1,11,3,0.03603
2013,1,11,4,0.03711
2013,1,11,5,0.0381
2013,1,11,6,0.04933
2013,1,11,7,0.06342
2013,1,11,8,0.06658
2013,1,11,9,0.06651
2013,1,11,10,0.06421
2013,1,11,11,0.06226
2013,1,11,12,0.0607
2013,1,11,13,0.05708
2013,1,11,14,0.05494
2013,1,11,15,0.05457
2013,1,11,16,0.05629
2013,1,11,17,0.06497
2013,1,11,18,0.06907
2013,1,11,19,0.0632
2013,1,11,20,0.05946
2013,1,11,21,0.05494
2013,1,11,22,0.05804
2013,1,11,23,0.05299
2013,1,12,0,0.05101
2013,1,12,1,0.04994
2013,1,12,2,0.05101
2013,1,12,3,0.04476
2013,1,12,4,0.03692
2013,1,12,5,0.03724
2013,1,12,6,0.0379
2013,1,12,7,0.0453
2013,1,12,8,0.04724
2013,1,12,9,0.05197
2013,1,12,10,0.0567
2013,1,12,11,0.0559
2013,1,12,12,0.05542
2013,1,12,13,0.05355
2013,1,12,14,0.05046
2013,1,12,15,0.04959
2013,1,12,16,0.04724
2013,1,12,17,0.05702
2013,1,12,18,0.06493
2013,1,12,19,0.06032
2013,1,12,20,0.0548
2013,1,12,21,0.04724
2013,1,12,22,0.05056
2013,1,12,23,0.05146
2013,1,13,0,0.05
2013,1,13,1,0.045
2013,1,13,2,0.04494
2013,1,13,3,0.0376
2013,1,13,4,0.03743
2013,1,13,5,0.03753
2013,1,13,6,0.03729
2013,1,13,7,0.03753
2013,1,13,8,0.03677
2013,1,13,9,0.04108
2013,1,13,10,0.04945
2013,1,13,11,0.05494
2013,1,13,12,0.05396
2013,1,13,13,0.05063
2013,1,13,14,0.04821
2013,1,13,15,0.04244
2013,1,13,16,0.04339
2013,1,13,17,0.05062
2013,1,13,18,0.07994
2013,1,13,19,0.06802
2013,1,13,20,0.06319
2013,1,13,21,0.05493
2013,1,13,22,0.0534
2013,1,13,23,0.0506
2013,1,14,0,0.03991
2013,1,14,1,0.03776
2013,1,14,2,0.04691
2013,1,14,3,0.04496
2013,1,14,4,0.03976
2013,1,14,5,0.03936
2013,1,14,6,0.04421
2013,1,14,7,0.06061
2013,1,14,8,0.06208
2013,1,14,9,0.0626
2013,1,14,10,0.06339
2013,1,14,11,0.06348
2013,1,14,12,0.06171
2013,1,14,13,0.06006
2013,1,14,14,0.05761
2013,1,14,15,0.05672
2013,1,14,16,0.05789
2013,1,14,17,0.07192
2013,1,14,18,0.07325
2013,1,14,19,0.06469
2013,1,14,20,0.05707
2013,1,14,21,0.04845
2013,1,14,22,0.04743
2013,1,14,23,0.04741
2013,1,15,0,0.04814
2013,1,15,1,0.04566
2013,1,15,2,0.04333
2013,1,15,3,0.03981
2013,1,15,4,0.041
2013,1,15,5,0.0424
2013,1,15,6,0.04906
2013,1,15,7,0.06373
2013,1,15,8,0.0644
2013,1,15,9,0.06466
2013,1,15,10,0.06405
2013,1,15,11,0.06553
2013,1,15,12,0.06507
2013,1,15,13,0.06494
2013,1,15,14,0.06513
2013,1,15,15,0.06312
2013,1,15,16,0.06449
2013,1,15,17,0.07092
2013,1,15,18,0.0721
2013,1,15,19,0.06903
2013,1,15,20,0.06419
2013,1,15,21,0.05794
2013,1,15,22,0.06
2013,1,15,23,0.04994
